attack_id,strike_id,date,avg_total,avg_civcas,avg_children,avg_injured
TOT116,PAKOB53,2010-01-01,2.5,0,0,3.5
TOT117,PAKOB54,2010-01-03,5,1.5,1,2
TOT118,PAKOB55,2010-01-06,6,3,0,5
TOT119,PAKOB56,2010-01-06,7,5,0,3
TOT120,PAKOB57,2010-01-08,5.5,5,1,3
TOT121,PAKOB58,2010-01-09,4.5,0,0,5
TOT122,PAKOB59,2010-01-09,16.5,0,0,10.5
TOT123,YEM005,2010-01-12,1.5,0,0,0
TOT124,YEM006,2010-01-15,3,0,0,0
TOT125,PAKOB60,2010-01-15,7.5,0,0,3
TOT126,PAKOB61,2010-01-15,8,0,0,0
TOT127,PAKOB62,2010-01-17,17,0,0,4
TOT128,PAKOB63,2010-01-19,7,0,0,4
TOT129,YEM007,2010-01-20,2,0,0,0
TOT130,PAKOB64,2010-01-29,8.5,0,0,4
TOT131,YEM008,2010-01-31,0,0,0,0
TOT132,PAKOB65,2010-02-02,23.5,0,0,0
TOT133,PAKOB66,2010-02-02,0,0,0,0
TOT134,PAKOB67,2010-02-02,0,0,0,0
TOT135,PAKOB68,2010-02-02,9,5,0,0
TOT136,PAKOB69,2010-02-14,6,0,0,4
TOT137,PAKOB70,2010-02-15,4.5,0,0,0
TOT138,PAKOB71,2010-02-17,4,0,0,2.5
TOT139,PAKOB72,2010-02-18,4,0,0,4
TOT140,PAKOB73,2010-02-24,9,5.5,1,6
TOT141,PAKOB74,2010-03-08,9,0,0,2
TOT142,PAKOB75,2010-03-10,7.5,0,0,12
TOT143,PAKOB76,2010-03-10,7,5.5,0,0
TOT144,YEM009,2010-03-14,2.5,0,0,0
TOT145,YEM010,2010-03-15,13.5,10,0,0
TOT146,PAKOB77,2010-03-16,9,0,0,2
TOT147,PAKOB78,2010-03-17,4,0,0,4
TOT148,PAKOB79,2010-03-17,5,0,0,0
TOT149,PAKOB80,2010-03-21,6.5,0,0,0
TOT150,PAKOB81,2010-03-23,6,0,0,3
TOT151,PAKOB82,2010-03-27,4,2,0,5
TOT152,PAKOB83,2010-03-31,5.5,5.5,1,2
TOT153,PAKOB84,2010-04-12,13,10.5,2,2.5
TOT154,PAKOB85,2010-04-14,4.5,0,0,2
TOT155,PAKOB86,2010-04-16,3.5,0,0,2
TOT156,PAKOB87,2010-04-24,8,0,0,0
TOT157,PAKOB88,2010-04-26,5.5,0,0,3
TOT158,PAKOB89,2010-05-03,5,1,0,0
TOT159,PAKOB90,2010-05-09,7.5,2,0,4
TOT160,PAKOB91,2010-05-11,11,2,0,12
TOT161,PAKOB92,2010-05-11,11,0,0,4
TOT162,PAKOB93,2010-05-15,10,1,0,15
TOT163,PAKOB94,2010-05-21,11,10,7,8.5
TOT164,YEM011,2010-05-24,3.5,3.5,0,2.5
TOT165,PAKOB95,2010-05-28,10,5.5,0,4
TOT166,PAKOB96,2010-06-10,4.5,4,0,3
TOT167,PAKOB97,2010-06-11,12.5,0,0,11
TOT168,PAKOB98,2010-06-19,16.5,0,0,14
TOT169,PAKOB99,2010-06-26,3,0,0,2
TOT170,PAKOB100,2010-06-27,5.5,0,0,4
TOT171,PAKOB101,2010-06-29,8.5,0,0,2.5
TOT172,PAKOB102,2010-07-15,11.5,3.5,0,3
TOT173,PAKOB103,2010-07-24,17,0,0,24
TOT174,PAKOB104,2010-07-25,23,0,0,9.5
TOT175,PAKOB105,2010-07-25,8,0,0,3
TOT176,PAKOB106,2010-07-25,4,0,0,5
TOT177,PAKOB107,2010-08-14,13.5,7,1,5.5
TOT178,PAKOB108,2010-08-21,5,2,0,2
TOT179,PAKOB109,2010-08-23,20,8,3,15
TOT180,PAKOB110,2010-08-23,6,0,0,7.5
TOT181,PAKOB111,2010-08-27,6,0,0,2
TOT182,PAKOB112,2010-08-27,0,0,0,0
TOT183,PAKOB113,2010-08-27,2.5,1.5,0,0
TOT184,PAKOB114,2010-09-03,7.5,0,0,2.5
TOT185,PAKOB115,2010-09-03,3,0,0,2
TOT186,PAKOB116,2010-09-04,7.5,0,0,12
TOT187,PAKOB117,2010-09-06,4.5,0,0,1
TOT188,PAKOB118,2010-09-08,7.5,4,4,2
TOT189,PAKOB119,2010-09-08,3.5,2,0,1.5
TOT190,PAKOB120,2010-09-08,10,0,0,3.5
TOT191,PAKOB121,2010-09-09,4.5,0,0,4
TOT192,PAKOB122,2010-09-12,6,0,0,2.5
TOT193,PAKOB123,2010-09-14,11.5,0,0,4
TOT194,PAKOB124,2010-09-14,2.5,0,0,4
TOT195,PAKOB125,2010-09-15,13,5,0,3
TOT196,PAKOB126,2010-09-15,5.5,0,0,3
TOT197,PAKOB127,2010-09-19,6,5,0,0
TOT198,PAKOB128,2010-09-20,4.5,1.5,0,0
TOT199,PAKOB129,2010-09-21,7.5,0,0,4.5
TOT200,PAKOB130,2010-09-21,8,0,0,0
TOT201,PAKOB131,2010-09-25,3,0,0,0
TOT202,PAKOB132,2010-09-26,4.5,0,0,2
TOT203,PAKOB133,2010-09-26,4,0,0,1.5
TOT204,PAKOB134,2010-09-26,2.5,0,0,0
TOT205,PAKOB135,2010-09-27,3.5,0,0,0
TOT206,PAKOB136,2010-09-28,4,0,0,2
TOT207,PAKOB137,2010-10-02,9,0,0,3
TOT208,PAKOB138,2010-10-02,10.5,0,0,2
TOT209,PAKOB139,2010-10-04,7,1.5,0,2
TOT210,PAKOB140,2010-10-06,8,0,0,4
TOT211,PAKOB141,2010-10-06,4,0,0,3
TOT212,PAKOB142,2010-10-07,4,0,0,2
TOT213,PAKOB143,2010-10-08,5,0,0,0
TOT214,PAKOB144,2010-10-08,6.5,2,0,0
TOT215,PAKOB145,2010-10-10,6.5,0,0,3
TOT216,PAKOB146,2010-10-13,10,4.5,0,0
TOT217,PAKOB147,2010-10-15,5,0,0,3
TOT218,PAKOB148,2010-10-15,4,0,0,0
TOT219,PAKOB149,2010-10-18,6.5,1,1,3.5
TOT220,PAKOB150,2010-10-27,3.5,0,0,1
TOT221,PAKOB151,2010-10-27,3,0,0,1
TOT222,PAKOB152,2010-10-28,6,2,0,0
TOT223,PAKOB153,2010-11-01,5.5,0,0,2
TOT224,PAKOB154,2010-11-03,4.5,0,0,0
TOT225,PAKOB155,2010-11-03,4.5,0,0,0
TOT226,PAKOB156,2010-11-03,4.5,0,0,0
TOT227,PAKOB157,2010-11-07,8.5,0,0,2
TOT228,PAKOB158,2010-11-07,4.5,0,0,2.5
TOT229,PAKOB159,2010-11-11,6.5,0,0,5.5
TOT230,PAKOB160,2010-11-13,4,2,0,1
TOT231,PAKOB161,2010-11-16,20,4.5,0,0
TOT232,PAKOB162,2010-11-19,3,0,0,1
TOT233,PAKOB163,2010-11-21,7,1.5,0,0
TOT234,PAKOB164,2010-11-22,4.5,0,0,2.5
TOT235,PAKOB165,2010-11-26,3,2.5,1,0
TOT236,PAKOB166,2010-11-28,2,0,0,0
TOT237,PAKOB167,2010-12-06,4,1,0,3
TOT238,PAKOB168,2010-12-06,3,0,0,0
TOT239,PAKOB169,2010-12-10,4,0,0,2
TOT240,PAKOB170,2010-12-14,3.5,2,0,0
TOT241,PAKOB171,2010-12-16,7,0,0,0
TOT242,PAKOB172,2010-12-17,11,0,0,9
TOT243,PAKOB173,2010-12-17,13,0,0,2
