attack_id,strike_id,date,avg_total,avg_civcas,avg_children,avg_injured
TOT497,YEM119,2013-01-19,5,2,0,0
TOT498,YEM120,2013-01-20,3,0,0,0
TOT499,YEM121,2013-01-21,3,0,0,2
TOT500,YEM122,2013-01-22,4,0,0,0
TOT501,YEM123,2013-01-23,4,2,0,0
TOT502,YEM124,2013-01-23,4,0,0,0
TOT503,PAKOB312,2013-02-06,4,1,0,1
TOT504,PAKOB313,2013-02-08,7.5,0,0,4
TOT505,PAKOB314,2013-03-10,2,0,0,1
TOT506,PAKOB315,2013-03-22,2.5,0,0,1
TOT507,PAKOB316,2013-04-14,5,0,0,2
TOT508,YEM125,2013-04-17,4,2,0,0
TOT509,PAKOB317,2013-04-17,5,0,0,4.5
TOT510,YEM126,2013-04-21,2,0,0,2.5
TOT511,YEM127,2013-05-18,6.5,0,0,0
TOT512,YEM128,2013-05-20,2,0,0,0
TOT513,PAKOB318,2013-05-29,5,0,0,2.5
TOT514,YEM129,2013-06-01,7.5,0,0,2.5
TOT515,PAKOB319,2013-06-07,9,0,0,3.5
TOT516,YEM130,2013-06-09,4.5,1,1,0
TOT517,PAKOB320,2013-07-03,17,0,0,5
TOT518,PAKOB321,2013-07-13,2.5,0,0,0
TOT519,YEM131,2013-07-27,6.5,0,0,0
TOT520,PAKOB322,2013-07-28,6.5,0,0,3
TOT521,YEM132,2013-07-30,3.5,0,0,0
TOT522,YEM133,2013-08-01,4,4.5,1,3
TOT523,YEM134,2013-08-06,4,0,0,0
TOT524,YEM135,2013-08-07,7,0,0,0
TOT525,YEM136,2013-08-08,5.5,2,2,0
TOT526,YEM137,2013-08-08,4.5,0,0,0
TOT527,YEM138,2013-08-08,4,0,0,0
TOT528,YEM139,2013-08-10,3.5,0,0,3.5
TOT529,YEM140,2013-08-30,5,0,0,0
TOT530,PAKOB323,2013-08-31,3.5,0,0,2
TOT531,PAKOB324,2013-09-06,6,0,0,5
TOT532,PAKOB325,2013-09-22,6.5,0,0,3
TOT533,PAKOB326,2013-09-29,4.5,0,0,2
TOT534,PAKOB327,2013-09-30,2.5,0,0,3
TOT535,SOM017,2013-10-05,4,0,0,1
TOT536,SOM018,2013-10-28,2.5,0,0,0
TOT537,PAKOB328,2013-10-31,2.5,0,0,3
TOT538,PAKOB329,2013-11-01,5.5,0,0,2
TOT539,YEM141,2013-11-19,5,0,0,0
TOT540,PAKOB330,2013-11-21,7.5,0,0,5
TOT541,YEM142,2013-11-26,12,0,0,0
TOT542,PAKOB331,2013-11-29,2.5,0,0,1.5
TOT543,YEM143,2013-12-09,3,0,0,0
TOT544,YEM144,2013-12-12,14.5,12,0,17.5
TOT545,PAKOB332,2013-12-25,3.5,0,0,1
TOT546,YEM145,2013-12-27,3.5,0,0,0
TOT547,YEM146,2013-12-31,4,0,0,1.5
TOT548,YEM147,2014-01-06,0,0,0,1
TOT549,YEM148,2014-01-08,2,0,0,1
TOT550,YEM149,2014-01-15,1,1,0,0
TOT551,YEM150,2014-01-24,3.5,0,0,0
TOT552,SOM019,2014-01-26,5.5,1,1,0.5
TOT553,YEM151,2014-03-02,2,0,0,1
TOT554,YEM152,2014-03-02,2.5,0,0,2
TOT555,YEM153,2014-03-03,1,0,0,0
TOT556,YEM154,2014-03-03,3,0,0,2
TOT557,YEM155,2014-03-05,3,0,0,0
TOT558,YEM156,2014-03-10,2.5,0.5,0.5,0
TOT559,YEM157,2014-03-12,2.5,0,0,0
TOT560,YEM158,2014-04-01,3,0,0,4
TOT561,YEM159,2014-04-19,17,5.5,0,3.5
TOT562,YEM160,2014-04-20,27.5,1,1,2
TOT563,YEM161,2014-04-21,3.5,1,1,0
TOT564,YEM162,2014-05-12,5,0,0,0
TOT565,YEM163,2014-06-04,3.5,0,0,0
TOT566,PAKOB333,2014-06-11,5,0,0,0
TOT567,PAKOB334,2014-06-12,8,0,0,4
TOT568,YEM164,2014-06-13,5.5,0,0,0
TOT569,PAKOB335,2014-06-18,6,0,0,3
TOT570,YEM165,2014-06-21,0,0,0,0
TOT571,PAKOB336,2014-07-10,6.5,0,0,2.5
TOT572,PAKOB337,2014-07-16,19.5,0,0,5
TOT573,PAKOB338,2014-07-19,13,0,0,0
TOT574,SOM020,2014-08-01,6,0,0,0
TOT575,PAKOB339,2014-08-05,6,0,0,2.5
TOT576,YEM166,2014-08-09,3,0,0,2
TOT577,YEM167,2014-08-16,3,0,0,0
TOT578,YEM168,2014-09-11,4.5,0,0,0
TOT579,PAKOB340,2014-09-24,8,0,0,0
TOT580,YEM169,2014-09-25,4.5,0,0,0
TOT581,YEM170,2014-09-26,2.5,0,0,3
TOT582,PAKOB341,2014-09-28,3,0,0,2.5
TOT583,PAKOB342,2014-10-05,4.5,0,0,2.5
TOT584,PAKOB343,2014-10-06,6,0,0,5
TOT585,PAKOB344,2014-10-07,5.5,0,0,8
TOT586,PAKOB345,2014-10-07,3,0,0,5
TOT587,PAKOB346,2014-10-08,3,0,0,2
TOT588,PAKOB347,2014-10-09,3.5,0,0,0
TOT589,PAKOB348,2014-10-11,5,0,0,2
TOT590,PAKOB349,2014-10-11,3,0,0,0
TOT591,YEM171,2014-10-15,4,0,0,0
TOT592,YEM172,2014-10-24,6.5,5,0,0
TOT593,YEM173,2014-10-26,16,6,0,0
TOT594,PAKOB350,2014-10-30,5.5,0,0,2
TOT595,YEM174,2014-11-04,14.5,0,0,0
TOT596,PAKOB351,2014-11-11,5.5,1,1,2.5
TOT597,YEM175,2014-11-12,7,0,0,0
TOT598,PAKOB352,2014-11-20,6.5,0,0,2.5
TOT599,YEM176,2014-11-26,7,0,0,0
TOT600,PAKOB353,2014-11-26,6.5,0,0,2.5
TOT601,YEM177,2014-12-06,9.5,0,0,3
TOT602,YEM178,2014-12-06,11,8,1,0
TOT603,PAKOB354,2014-12-07,5,0,0,2
TOT604,PAKOB355,2014-12-20,5,0,0,0
TOT605,PAKOB356,2014-12-26,4.5,0,0,0
TOT606,PAKOB357,2014-12-26,3.5,0,0,0
TOT607,SOM021,2014-12-29,2.5,0,0,0
TOT608,PAKOB358,2015-01-04,8,0,0,0
TOT609,PAKOB359,2015-01-15,6,2,0,0
TOT610,PAKOB360,2015-01-15,5.5,0,0,3.5
TOT611,PAKOB361,2015-01-19,6,0,0,5
TOT612,YEM179,2015-01-26,3,1.5,1,0
TOT613,PAKOB362,2015-01-28,6.5,0,0,3
TOT614,YEM180,2015-01-31,4,0,0,0
TOT615,SOM022,2015-01-31,50,0,0,0
TOT616,SOM023,2015-01-31,5.5,2,0,2
TOT617,YEM181,2015-02-02,4.5,0,0,0
TOT618,YEM182,2015-02-20,2.5,0,0,0
TOT619,YEM183,2015-02-28,3.5,0,0,0
TOT620,YEM184,2015-03-01,2.5,0,0,3
TOT621,SOM024,2015-03-12,3,0,0,0
TOT622,PAKOB363,2015-03-18,3,0,0,0
TOT623,YEM185,2015-04-12,5,0,0,0
TOT624,PAKOB364,2015-04-12,4,0,0,2
TOT625,YEM186,2015-04-17,2,0,0,0
TOT626,YEM187,2015-04-19,4,0,0,0
TOT627,YEM188,2015-04-21,6,0.5,0.5,0
TOT628,YEM189,2015-05-08,3,0,0,0
TOT629,YEM190,2015-05-10,2.5,0,0,0
TOT630,YEM191,2015-05-11,4,0,0,2
TOT631,YEM192,2015-05-16,3,0,0,0
TOT632,PAKOB365,2015-05-16,5.5,0,0,2
TOT633,PAKOB366,2015-05-18,4.5,0,0,2.5
TOT634,YEM193,2015-05-22,4,0,0,0
TOT635,PAKOB367,2015-06-01,4.5,0,0,0
TOT636,YEM194,2015-06-02,12.5,0,0,0
TOT637,PAKOB368,2015-06-06,8,1.5,0,4
TOT638,YEM195,2015-06-09,3,0,0,2
TOT639,YEM196,2015-06-25,4.5,0,0,2
TOT640,YEM197,2015-06-26,4,0,0,0
TOT641,YEM198,2015-06-26,4,0,0,0
TOT642,YEM199,2015-07-03,4,0,0,0
TOT643,YEM200,2015-07-11,6.5,0,0,0
TOT644,SOM025,2015-07-15,2.5,0,0,0
TOT645,SOM026,2015-07-15,0,0,0,0
TOT646,YEM201,2015-07-29,4.5,0,0,0
TOT647,PAKOB369,2015-08-06,5.5,0,0,2.5
TOT648,YEM202,2015-08-12,5,0,0,0
TOT649,YEM203,2015-08-21,3,0,0,0
TOT650,YEM204,2015-08-23,4,0,0,0
TOT651,YEM205,2015-08-26,5,0,0,0
TOT652,PAKOB370,2015-09-01,5.5,0,0,4
TOT653,YEM206,2015-09-09,4.5,2,0,2
TOT654,YEM207,2015-09-11,4,0,0,0
TOT655,YEM208,2015-09-12,4.5,0,0,0
TOT656,YEM209,2015-09-21,2,0,0,0
TOT657,SOM027,2015-11-21,7.5,0,0,0
TOT658,SOM028,2015-11-29,0,0,0,0
TOT659,SOM029,2015-12-02,3,0,0,0
TOT660,SOM030,2015-12-21,5,0,0,0
TOT661,YEM210,2015-12-22,4,0,0,0
TOT662,PAKOB371,2016-01-09,5,0,0,2
TOT663,YEM211,2016-01-15,3,0,0,0
TOT664,YEM212,2016-01-19,2,0,0,0
TOT665,YEM213,2016-02-03,6,0,0,0
TOT666,YEM214,2016-02-03,3,0,0,0
TOT667,YEM215,2016-02-15,3,0,0,0
TOT668,PAKOB372,2016-02-22,4.5,0,0,2.5
TOT669,YEM216,2016-02-29,3,0,0,0
TOT670,YEM217,2016-03-04,4,0,0,0
TOT671,SOM031,2016-03-05,175,0,0,0
TOT672,SOM032,2016-03-08,19,0,0,0
TOT673,YEM218,2016-03-22,60.5,0,0,29
TOT674,YEM219,2016-03-26,8,0,0,0
TOT675,YEM220,2016-03-26,6,0,0,0
TOT676,YEM221,2016-03-28,5,3,0,0
TOT677,YEM222,2016-03-30,3.5,0,0,0
TOT678,YEM223,2016-03-30,0,0,0,0
TOT679,SOM033,2016-03-31,3,0,0,0
TOT680,SOM034,2016-04-01,11,0,0,0
TOT681,SOM035,2016-04-02,6,0,0,0
TOT682,YEM224,2016-04-03,0,0,0,0
TOT683,YEM225,2016-04-05,0,0,0,0
TOT684,SOM036,2016-04-06,8,0,0,0
TOT685,SOM037,2016-04-11,10,3,0,0
TOT686,YEM226,2016-04-23,2,0,0,0
TOT687,YEM227,2016-04-25,4.5,0,0,0
TOT688,YEM228,2016-04-25,6,0,0,0
TOT689,YEM229,2016-04-28,4,0,0,1
TOT690,SOM038,2016-05-12,5,0,0,0
TOT691,YEM230,2016-05-19,4,0,0,0
TOT692,PAKOB373,2016-05-21,2,1,0,0
TOT693,SOM039,2016-05-27,1,0,0,0
TOT694,YEM231,2016-06-09,2,0,0,0
TOT695,YEM232,2016-06-10,2,0,0,0
TOT696,YEM233,2016-06-12,2.5,0,0,1
TOT697,SOM040,2016-06-21,3,0,0,0
TOT698,YEM234,2016-07-01,4.5,0,0,0
TOT699,YEM235,2016-07-04,2.5,0,0,0.5
TOT700,YEM236,2016-07-08,1,0,0,0
TOT701,YEM237,2016-07-10,0,0,0,4
TOT702,YEM238,2016-07-16,3,0,0,1
TOT703,YEM239,2016-08-04,3,0,0,3
TOT704,YEM240,2016-08-24,4.5,0,0,0
TOT705,YEM241,2016-08-30,3,0,0,0
TOT706,SOM041,2016-08-30,2,0,0,0
TOT707,YEM242,2016-09-04,7.5,0,0,0
TOT708,SOM042,2016-09-05,4,0,0,0
TOT709,YEM243,2016-09-13,5,0,0,0
TOT710,YEM244,2016-09-20,2,0,0,0
TOT711,YEM245,2016-09-22,2.5,0,0,0
TOT712,YEM246,2016-09-23,4,0,0,0
TOT713,SOM043,2016-09-26,4,0,0,0
TOT714,SOM044,2016-09-28,16,0,0,9.5
TOT715,YEM247,2016-09-29,1.5,0,0,0.5
TOT716,YEM248,2016-10-06,2,0,0,0
TOT717,YEM249,2016-10-12,0,0,0,0
TOT718,YEM250,2016-10-18,5.5,0,0,2
TOT719,YEM251,2016-10-21,5,0,0,0
